Zone#,StopSeq,Period,SignRt,Part,Express or Local,Inbound or Outbound,OnStreet,CrossStreet,Intersection,Direction,,,,,,
71961,1,AAM,672,,L,I,NE 83rd St,161st Ave NE,NS,W,,,,S Fletcher St,Renton Ave S,Dunlap
71830,1,AAM,248,,L,I,AVONDALE PL NE,AVONDALE RD NE,NS,N,,,,Waters Ave S,57th Ave S,Rainier Beach
73812,1,AAM,248,,L,O,3rd St,Park Ln,NS,N,,,,54th Ave S,Rainier Ave S,Rainier Beach
73812,1,AAM,236,,L,O,3rd St,Park Ln,NS,N,,,,52nd Ave S,Rainier Ave S,Dunlap
74731,1,AAM,252,,L,I,NE 128TH ST,120TH AVE NE,FS,W,,,,57th Ave S,Rainier Ave S,Rainier Beach
7430,1,AAM,21,,L,O,WALL ST,5TH AVE,NS,W,,,,Seward Park Ave S,Rainier Ave S,Dunlap
9978,1,AAM,32,,L,O,SAND PT WAY NE,40TH AVE NE,FM,S,,,,S Barton St,Renton Ave S,Dunlap
5492,1,AAM,5,,L,I,Shoreline CC AcRd,N Innis Arden Way,FS,N,,,,SW Cambridge St,16th Ave SW,South Delridge
5492,1,AAM,355,,E,I,Shoreline CC AcRd,N Innis Arden Way,FS,N,,,,SW Cambridge St,35th Ave SW,Fauntleroy
9145,1,AAM,65,,L,O,NE CAMPUS PKWY,UNIVERSITY WAY NE,FS,W,,,,51st Ave S,Rainier Ave S,Dunlap
9145,1,AAM,75,,L,O,NE CAMPUS PKWY,UNIVERSITY WAY NE,FS,W,,,,Olson-Myers Way P&R AcRd,Olson-Myers Way P&R AcRd,Highland Park
8402,1,AAM,48,,L,O,Mt. Baker Transfer A,Martin L King Jr Way,FS,W,,,,SW Cambridge St,Delridge Way SW,South Delridge
10912,1,AAM,271,,L,O,15TH AVE NE,NE 43RD ST,FS,S,,,,3rd Ave SW,Olson Pl SW,Highland Park
3600,1,AAM,49,,L,O,S JACKSON ST,12TH AVE S,FS,W,,,,3rd Ave SW,Olson Pl SW,Highland Park
10658,1,AAM,30,,L,I,NOAA,BUILDING 3,AT,W,,,,S Barton St,Renton Ave S,Dunlap
10910,1,AAM,49,,L,I,12TH AVE NE,NE 47TH ST,FS,S,,,,Rainier Ave S,Seward Park Ave S,Dunlap
24250,1,AAM,31,,L,I,34TH AVE W,W MCGRAW ST,NS,S,,,,SW Cambridge St,35th Ave SW,Roxhill
76526,1,AAM,234,,L,I,NORTHSHORE P&R,68TH AVE NE,FM,W,,,,S Fisher Pl,Seward Park Ave S,Dunlap
11370,1,AAM,10,,L,I,15TH AVE E,E GALER ST,NS,S,,,,S Barton St,Renton Ave S,Dunlap
13915,1,AAM,8,,L,I,1ST AVE W,W MERCER ST,NM,S,,,,S Barton St,39th Ave S,South Beacon Hill
16102,1,AAM,346,,L,I,Aurora Village TC Ac,Ashworth Ave N,NS,E,,,,S Fisher Pl,Rainier Ave S,Dunlap
16100,1,AAM,358,,E,I,N 200th St,Ashworth Ave N,FS,W,,,,S Barton St,Renton Ave S,Dunlap
11690,1,AAM,14,,L,I,MOUNT RAINIER DR S,S RIDGEWAY PL,NS,N,,,,S Barton St,39th Ave S,South Beacon Hill
16120,1,AAM,301,,L,I,AURORA AVE N,N 200TH ST,FS,N,,,,SW Barton St,Delridge Way SW,South Delridge
