NW 90TH ST & 1ST AVE NW
140TH AVE NE & NE 12TH ST
SE 128TH ST & 156TH AVE SE
DES MOINES MEMORI DR & S 156TH ST
I-405 & JUANITA WOODINVIL WA
E JEFFERSON ST & BROADWAY
MAPLE VALLY - BLA RD & SE 253RD PL
S 272ND ST & 26TH AVE S
NE 205TH ST & 19TH AVE NE
108TH AVE NE & NORTHUP WAY
AUBURN WAY N & S 277TH ST
MARTIN L KING JR WAY & S HOLLY ST
5TH AVE NE & NE 145TH ST
NE 8TH ST & 170TH PL NE
E MERCER WAY & SE 79TH ST
W MERCER WAY & 82ND AVE SE
130TH AVE NE & NE 24TH PL
78TH AVE SE & SE 37TH ST
AUBURN-ENUMCLAW RD & SE 380TH PL
SE 36TH ST & 13400 BLOCK
RAINIER AVE S & S ANDOVER ST
6TH ST S & NE 68TH ST
WATERS AVE S & S PILGRIM ST
4TH AVE S & S ORCAS ST
ALKI AVE SW & 61ST AVE SW
WEST MONTLAKE PL E & E LOUISA ST
25TH AVE NE & NE 55TH ST
140TH AVE NE & NE 44TH PL
112TH AVE NE & NE 100TH ST
EAST MARGINAL WAY S & S 87TH PL
124TH AVE NE & NE 132ND ST
BRICKYARD RD NE & NE WOODINVILLE DR
THORNDYKE AVE W & W BLAINE ST
5TH AVE & JAMES ST
NE 83rd St & 161st Ave NE
31ST AVE S & S KING ST
S HOLDEN ST & 5TH AVE S
8TH AVE NW & NW 70TH ST
3RD AVE NW & NW 145TH ST
156TH AVE NE & MAIN ST
NE 125TH ST & 15TH AVE NE
40TH AVE NE & NE 80TH ST
EAST MARGINAL WAY S & S 94TH PL
SEWARD PK AVE S & WILSON AVE S
MARKET ST & 10TH AVE W
A ST SE & CROSS ST SE
ROOSEVELT WAY NE & NE 58TH ST
ANDOVER PARK W & MIDLAND DR
NE 85TH ST & 126TH AVE NE
140TH AVE NE & NE 14TH ST
E MAIN ST & K ST NE
116th Ave NE & Houghton P&R AcRd
E MAIN ST & H ST SE
LATONA AVE NE & NE 65TH ST
AMBAUM BLVD SW & SW 124TH ST
NE 40TH ST & 148TH AVE NE
35TH AVE SW & SW MORGAN ST
NE 141ST ST & 81ST PL NE
100TH AVE NE & NE 18TH ST
NE 70TH PL & 128TH AVE NE
148TH AVE NE & NE 51ST ST
161ST AVE SE & SE 171ST PL
26TH AVE SW & SW 106TH ST
