,"Percentage Early, On Time, and Late, Oct 2012 - May 2013 by Route and Day",,,,,,,,,,
,,,,,,,,,,,
,Days,Rte,E/L,% Late,% Early,%OnTime,,,,,
249L,SUN,249,L,3%,8%,89%,,,,,
255L,SUN,255,L,9%,3%,88%,,,,,
271L,SUN,271,L,4%,6%,90%,,,,,
280L,SUN,280,L,10%,12%,78%,,,,,
331L,SUN,331,L,5%,4%,91%,,,,,
345L,SUN,345,L,6%,2%,92%,,,,,
346L,SUN,346,L,3%,1%,96%,,,,,
347L,SUN,347,L,8%,1%,91%,,,,,
348L,SUN,348,L,7%,3%,91%,,,,,
358E,SUN,358,E,22%,3%,75%,,,,,
